id,word,head,modifier,category_id
180,slakte,FALSE,TRUE,2
181,slark,FALSE,TRUE,2
182,slikker,TRUE,FALSE,2
183,sluse,TRUE,FALSE,2
184,smurf,TRUE,FALSE,2
185,snerk,TRUE,FALSE,2
186,sopp,TRUE,FALSE,2
187,sperm,TRUE,TRUE,2
188,sprekk,TRUE,FALSE,2
189,sprut,TRUE,FALSE,2
190,stake,TRUE,FALSE,2
191,stang,TRUE,TRUE,2
192,suger,TRUE,FALSE,2
193,surfer,TRUE,FALSE,2
194,svette,TRUE,FALSE,2
195,svin,TRUE,FALSE,2
196,tamp,TRUE,FALSE,2
197,tampong,FALSE,TRUE,2
198,tarm,TRUE,TRUE,2
199,terrorist,TRUE,FALSE,2
200,testikkel,TRUE,TRUE,2
201,tiss,TRUE,FALSE,2
202,tøs,TRUE,FALSE,2
203,traktor,FALSE,TRUE,2
204,troll,TRUE,FALSE,2
205,tryne,TRUE,TRUE,2
206,turist,TRUE,FALSE,2
207,urin,FALSE,TRUE,2
208,vagina,TRUE,TRUE,2
209,vorte,TRUE,TRUE,2
210,tøyte,TRUE,FALSE,2
211,spy,FALSE,TRUE,2
212,ræv,TRUE,TRUE,2
213,laban,FALSE,TRUE,2
214,lus,TRUE,FALSE,2
215,idiot,TRUE,TRUE,2
216,vaffel,TRUE,FALSE,2
217,lik,FALSE,TRUE,2
218,onanist,TRUE,FALSE,2
219,livmor,FALSE,TRUE,2
220,lompe,TRUE,TRUE,2
221,høne,TRUE,FALSE,2
222,låve,FALSE,TRUE,2
223,skabb,FALSE,TRUE,2
224,spytt,TRUE,FALSE,2
225,helvete,TRUE,FALSE,2
226,helvetes,FALSE,TRUE,2
227,megge,TRUE,FALSE,2
228,mongo,TRUE,TRUE,2
229,mugg,FALSE,TRUE,2
230,møkka,FALSE,TRUE,2
231,sabb,TRUE,FALSE,2
232,nekro,FALSE,TRUE,2
233,kjepp,TRUE,FALSE,2
234,nugatti,FALSE,TRUE,2
235,oral,FALSE,TRUE,2
236,panser,FALSE,TRUE,2
237,pedo,TRUE,TRUE,2
238,elsker,TRUE,FALSE,2
239,fette,FALSE,TRUE,3
240,fetta,TRUE,FALSE,3
241,kuk,TRUE,TRUE,3
242,hæst,FALSE,TRUE,3
243,fæsk,FALSE,TRUE,3
244,balle,FALSE,TRUE,3
245,satan,TRUE,FALSE,3
246,raud,FALSE,TRUE,3
247,jævel,TRUE,FALSE,3
248,oter,FALSE,TRUE,3
249,reinsdyr,FALSE,TRUE,3
250,same,TRUE,TRUE,3
251,fjæs,TRUE,FALSE,3
252,lavvo,FALSE,TRUE,3
253,sperm,TRUE,TRUE,3
254,sæd,TRUE,TRUE,3
255,søring,FALSE,TRUE,3
256,sjark,FALSE,TRUE,3
257,kveit,FALSE,TRUE,3
258,hora,TRUE,FALSE,3
259,fakkel,TRUE,FALSE,3
260,ræv,FALSE,TRUE,3
261,håll,TRUE,FALSE,3
262,bæver,TRUE,TRUE,3
263,kveite,FALSE,TRUE,3
264,skjett,FALSE,TRUE,3
265,spætt,FALSE,TRUE,3
266,hore,FALSE,TRUE,3
267,gulp,TRUE,FALSE,3
268,tapp,TRUE,FALSE,3
269,lapp,FALSE,TRUE,3
270,unge,TRUE,FALSE,3
271,gorr,FALSE,TRUE,3
272,hysa,TRUE,FALSE,3
273,pess,FALSE,TRUE,3
274,jåss,FALSE,TRUE,3
275,hau,TRUE,FALSE,3
276,lort,TRUE,TRUE,3
277,tykje,FALSE,TRUE,3
278,kommel,FALSE,TRUE,3
279,pong,TRUE,FALSE,3
280,blåsa,TRUE,FALSE,3
281,mongoloid,FALSE,TRUE,3
282,skolt,TRUE,FALSE,3
283,joike,FALSE,TRUE,3
284,læst,TRUE,FALSE,3
285,toill,FALSE,TRUE,3
286,kall,TRUE,FALSE,3
287,gaura,TRUE,FALSE,3
288,gom,FALSE,TRUE,3
289,slork,TRUE,FALSE,3
290,baill,TRUE,FALSE,3
291,gammel,FALSE,TRUE,3
292,tøv,FALSE,TRUE,3
293,næp,FALSE,TRUE,3
294,knavvel,FALSE,TRUE,3
295,krake,TRUE,FALSE,3
296,tøtta,TRUE,FALSE,3
297,knøtta,TRUE,FALSE,3
298,måsa,TRUE,FALSE,3
299,skank,TRUE,FALSE,3
300,slæng,FALSE,TRUE,3
301,fjått,TRUE,TRUE,3
302,måse,FALSE,TRUE,3
303,raidd,TRUE,FALSE,3
304,bisk,TRUE,FALSE,3
305,pelk,TRUE,FALSE,3
